"POSITION/AUFTRAGSNR.";"K/V";"ANZAHL";"BETRAG";"KURS";"WECHSELKURS";"MARGIN";"GESAMT-PERF. G&V - %";"GESAMT-PERF. G&V - Pkt.";"GESAMT G&V";"STOP-LOSS";"TAKE-PROFIT";"VERKAUF";"KAUF"
"EUR/USD";"K";"4.849";"4.849,00";"1,20575";"0,82488";"161,96";"0,03 %";"4,7";"1,87";"(G) 1,19858";"-";"1,20622";"1,20629"
"O3-8S-5JZWT1 / 16:33";"K";"4.849";"4.849,00";"1,20575";" ";"161,96";"0,03 %";"4,7";"1,87";"(G) 1,19858";"-";"1,20622";"1,20629"
"US 30 - Jun 2021";"K";"0,175";"4.999,03";"34.118,3";"0,82488";"249,80";"0,91 %";"316,2";"45,64";"(G) 33.913,1";"-";"34.434,5";"34.438,5"
"O3-8S-5JXF13 / 05 Mai 2021";"K";"0,175";"4.999,03";"34.118,3";" ";"249,80";"0,91 %";"316,2";"45,64";"(G) 33.913,1";"-";"34.434,5";"34.438,5"
"US NDAQ 100 - Jun 2021";"K";"0,6696";"7.500,41";"13.437,3";"0,82488";"377,35";"1,15 %";"157";"86,71";"13.385,4";"14.270,8";"13.594,3";"13.596,3"
"O3-8S-5JZWZ5 / 16:34";"K";"0,6696";"7.500,41";"13.437,3";" ";" ";"1,15 %";"157";"86,71";"13.385,4";"14.270,8";"13.594,3";"13.596,3"
"US SPX 500 - Jun 2021";"K";"1,295";"4.484,89";"4.152,79";"0,82488";"225,16";"1,85 %";"778,5258";"44,10";"[4]";"-";"4.194,08";"4.194,68"
"O3-8S-5JN54Y / 05 Mai 2021";"K";"0,143";"498,19";"4.158,18";" ";"24,87";"0,85 %";"359";"4,23";"(G) 4.119,89";"-";"4.194,08";"4.194,68"
"O3-8S-5JN58J / 16:00";"K";"0,143";"494,47";"4.150,27";" ";" ";"1,04 %";"438,1";"5,16";"4.119,89";"-";"4.194,08";"4.194,68"
"O3-8S-5JN57B / 16:18";"K";"0,288";"994,46";"4.143,53";" ";" ";"1,2 %";"505,5";"12,00";"4.119,99";"-";"4.194,08";"4.194,68"
"O3-8S-5JZXJ8 / 16:38";"K";"0,721";"2.497,76";"4.155,93";" ";" ";"0,9 %";"381,5";"22,68";"4.120,08";"-";"4.194,08";"4.194,68"
